#! FIELDS sw file.free der_sw
#! SET min_sw -4.579537574539751
#! SET max_sw 1.320623441090281
#! SET nbins_sw 101
#! SET periodic_sw false
  -4.579537575   57.358981719   -3.119564923
  -4.520535964   56.374181107  -36.734376108
  -4.461534354   52.706737959  -73.495782927
  -4.402532744   49.725330568  -34.793372242
  -4.343531134   48.054868090  -13.549001458
  -4.284529524   45.907645352  -66.399304700
  -4.225527914   43.605771782  -74.300355425
  -4.166526303   36.953519030  -94.403206765
  -4.107524693   31.520504482 -106.427271990
  -4.048523083   25.745740255  -88.732576553
  -3.989521473   20.816698869 -100.588083303
  -3.930519863   16.821773438  -62.381244473
  -3.871518253   13.881453685  -58.051959183
  -3.812516643   11.224931240  -42.438475307
  -3.753515032    9.009546127  -35.066544142
  -3.694513422    7.333432588  -37.050758749
  -3.635511812    5.697460344  -20.476368481
  -3.576510202    3.981727338  -16.383087627
  -3.517508592    2.615125862  -18.040229306
  -3.458506982    1.244742883   -4.309617459
  -3.399505371    0.928724386   -5.149783816
  -3.340503761    0.649158528   -2.335182134
  -3.281502151    0.355420951   -3.155541063
  -3.222500541    0.140126486    4.345891172
  -3.163498931    0.111016177   -2.980175478
  -3.104497321    0.000000000    8.789105359
  -3.045495710    0.259575600    3.921812554
  -2.986494100    0.260304257    2.925148648
  -2.927492490    0.544385903   -0.243409019
  -2.868490880    0.409298644   -0.941305848
  -2.809489270    0.604267868   -5.438193911
  -2.750487660    0.970483595    1.575681568
  -2.691486050    1.222507092    0.301287585
  -2.632484439    1.822206207    1.419508220
  -2.573482829    2.266727717    3.845385098
  -2.514481219    2.847484500   12.585541702
  -2.455479609    3.691842600   22.832718442
  -2.396477999    4.956513452   16.606038996
  -2.337476389    5.784708935   32.135579422
  -2.278474778    7.133853265   16.816813702
  -2.219473168    8.573465713   14.863812646
  -2.160471558    9.876252830   14.761903236
  -2.101469948   10.991865924   13.376260458
  -2.042468338   12.276805322   19.396780166
  -1.983466728   13.660702758   29.414192408
  -1.924465118   14.750178303   18.133680158
  -1.865463507   16.080542157   13.664233701
  -1.806461897   17.127659845   20.238927768
  -1.747460287   18.169954375   26.181201392
  -1.688458677   19.274721011   10.519150017
  -1.629457067   20.318173283   15.612039233
  -1.570455457   21.340315548   17.994269831
  -1.511453846   22.276802541   20.159706059
  -1.452452236   23.425344924   24.314900425
  -1.393450626   24.222559661   14.614852982
  -1.334449016   25.183959690   22.039083597
  -1.275447406   26.100028409   10.767795756
  -1.216445796   26.873144355   12.479338028
  -1.157444185   27.254872162   17.045214201
  -1.098442575   28.327652019    8.466568506
  -1.039440965   29.071837105    3.584175066
  -0.980439355   29.547792781    5.333184943
  -0.921437745   30.204137967   15.809064274
  -0.862436135   30.679533644   23.320741020
  -0.803434525   31.389836285    7.463812019
  -0.744432914   32.167937353    6.418342064
  -0.685431304   32.629472945   14.022013876
  -0.626429694   33.672631702    9.081280604
  -0.567428084   34.552821914   11.899107309
  -0.508426474   35.838312692   14.880838148
  -0.449424864   36.780624379   15.586699099
  -0.390423253   38.541876006   14.316535170
  -0.331421643   40.064985903   37.077607877
  -0.272420033   42.661399639   31.593381598
  -0.213418423   45.570294297   75.842548582
  -0.154416813   48.594488137   50.850722079
  -0.095415203   49.684354762   16.495462099
  -0.036413593   50.259655327    1.410745848
   0.022588018   50.713704046    9.974835368
   0.081589628   50.728597062   11.848764157
   0.140591238   51.234700450    7.425153246
   0.199592848   51.613512871   12.907591956
   0.258594458   51.861001901   -8.478146175
   0.317596068   52.230431077    0.734443029
   0.376597679   52.446588870   20.557606845
   0.435599289   52.716911220   -1.832293340
   0.494600899   52.875051447    6.274470521
   0.553602509   53.135096304    5.342136325
   0.612604119   53.300596603    7.539824533
   0.671605729   53.337531760   -0.575126472
   0.730607340   53.480186296   -4.382905216
   0.789608950   53.496100496   -0.539728990
   0.848610560   53.554757213    2.645468736
   0.907612170   53.102722343  -18.288180680
   0.966613780   52.076468165   -9.316359882
   1.025615390   52.019637518    3.486816905
   1.084617000   52.573810668   16.601192795
   1.143618611   54.076803320   42.141686198
   1.202620221   56.139773531   35.298020132
   1.261621831   57.268662278    6.586286715
   1.320623441   57.406794960    0.384260416
